event_id,machine_id,event_date,event_type,fault_code,description,action_taken,technician,downtime_hours
1,MOTOR-01,2020-06-13,preventive_maintenance,,Winding insulation resistance measured below the specified value,Dried and re-varnished windings; re-tested insulation resistance,R. Ferreira,1.6
2,MOTOR-01,2020-06-28,preventive_maintenance,,Motor housing running hotter than the rated temperature during normal load,Cleared blocked ventilation fins and verified cooling fan operation,P. Gomes,5.1
3,MOTOR-01,2024-05-27,preventive_maintenance,,Abnormal noise and vibration at the bearings noticed during a routine inspection,Replaced drive-end bearing and re-balanced rotor,A. Silva,5.4
4,MOTOR-01,2024-08-21,preventive_maintenance,,Shaft end-play outside tolerance found during inspection,Replaced worn thrust bearing and adjusted shaft end-play,T. Nunes,6.9
5,MOTOR-01,2025-04-07,fault,,Motor housing running hotter than the rated temperature during normal load,Cleared blocked ventilation fins and verified cooling fan operation,T. Nunes,1.0
6,MOTOR-02,2022-12-18,fault,,"Machine not running smoothly, with abnormal noise reported as it coasted down after switch-off",Checked for voltage imbalance and magnetic/mechanical imbalance; realigned coupling,A. Silva,2.9
7,MOTOR-02,2023-01-08,repair,,Unusual noise noted when the rotor was turned by hand during a stopped inspection,Checked rotor and coupling for damage or imbalance; verified direction of rotation with motor uncoupled,P. Gomes,2.7
8,MOTOR-03,2020-07-30,repair,,Unusual odor and discoloration noticed near the terminal box,Inspected and re-torqued terminal connections; cleaned terminal box,M. Costa,4.3
9,MOTOR-03,2020-08-07,repair,,Shaft end-play outside tolerance found during inspection,Replaced worn thrust bearing and adjusted shaft end-play,A. Silva,8.0
10,MOTOR-04,2019-11-05,fault,,Corrosion and moisture noticed on the motor housing during external inspection,Cleaned and repainted affected areas; checked seals for water ingress,A. Silva,1.3
11,MOTOR-04,2022-04-27,fault,,Condensation found inside the terminal box after the line washdown,Replaced terminal box gasket and cable gland seals,J. Alves,6.9
12,MOTOR-05,2020-10-31,fault,,"Machine not running smoothly, with abnormal noise reported as it coasted down after switch-off",Checked for voltage imbalance and magnetic/mechanical imbalance; realigned coupling,A. Silva,3.3
13,MOTOR-05,2026-05-22,preventive_maintenance,,Condensation found inside the terminal box after the line washdown,Replaced terminal box gasket and cable gland seals,J. Alves,4.7
14,MOTOR-06,2019-04-03,preventive_maintenance,,Abnormal noise and vibration at the bearings noticed during a routine inspection,Replaced drive-end bearing and re-balanced rotor,A. Silva,1.8
15,MOTOR-06,2022-02-27,fault,,Running current higher than expected on a preventive check,Checked mechanical load and bearing grease condition; re-greased bearings per lubricant plate interval,R. Ferreira,3.0
16,MOTOR-06,2023-09-24,repair,,Winding insulation resistance measured below the specified value,Dried and re-varnished windings; re-tested insulation resistance,M. Costa,5.8
17,MOTOR-07,2020-10-18,repair,,Corrosion and moisture noticed on the motor housing during external inspection,Cleaned and repainted affected areas; checked seals for water ingress,R. Ferreira,3.4
18,MOTOR-07,2020-11-28,repair,,"Machine not running smoothly, with abnormal noise reported as it coasted down after switch-off",Checked for voltage imbalance and magnetic/mechanical imbalance; realigned coupling,A. Silva,8.0
19,MOTOR-07,2021-10-24,repair,,Abnormal noise and vibration at the bearings noticed during a routine inspection,Replaced drive-end bearing and re-balanced rotor,M. Costa,3.8
20,MOTOR-07,2022-10-20,repair,,Shaft end-play outside tolerance found during inspection,Replaced worn thrust bearing and adjusted shaft end-play,P. Gomes,6.3
21,MOTOR-07,2023-01-28,repair,,Abnormal noise and vibration at the bearings noticed during a routine inspection,Replaced drive-end bearing and re-balanced rotor,T. Nunes,2.8
