machine_id,equipment_type,family,model,location,install_date
MOTOR-01,electric_motor,SIMOTICS SD,1LE1003-1DA43-4FA4,Line 1 - Conveyor A,2018-04-13
MOTOR-02,electric_motor,SIMOTICS GP 1LE1,1LE1001-1DA23-2AA4,Line 1 - Conveyor B,2020-09-30
MOTOR-03,electric_motor,SIMOTICS SD 1LE7,1LE7001-1DA23-1AA4,Line 2 - Packaging,2019-07-26
MOTOR-04,electric_motor,SIMOTICS SD,1LE1003-1DA43-4FA4,Line 2 - Palletizer,2018-12-23
MOTOR-05,electric_motor,SIMOTICS GP/SD/DP,1LE1002-1DA23-3AA5,Line 3 - Mixing,2018-05-11
MOTOR-06,electric_motor,SIMOTICS SD,1LE1003-1DA43-4FA4,Line 3 - Extrusion,2019-01-19
MOTOR-07,electric_motor,SIMOTICS SD 1LE7,1LE7001-1DA23-1AA4,Line 4 - Filling,2020-08-10
MOTOR-08,electric_motor,SIMOTICS SD,1LE1003-1DA43-4FA4,Line 4 - Capping,2020-03-25
MOTOR-09,electric_motor,SIMOTICS GP/SD/DP,1LE1002-1DA23-3AA5,Utilities - Pump House,2020-06-21
MOTOR-10,electric_motor,SIMOTICS GP/SD/DP,1LE1002-1DA23-3AA5,Utilities - Compressor Room,2021-02-13
VFD-01,VFD,SINAMICS G120C,6SL3210-1KE21-3UB1,Line 1 - Conveyor A,2019-10-16
VFD-02,VFD,SINAMICS G120 CU240B/E-2,6SL3244-0BB13-1FA0,Line 1 - Conveyor B,2022-09-28
VFD-03,VFD,SINAMICS G120 CU240B-2/CU240E-2,6SL3244-0BB12-1PA1,Line 2 - Packaging,2021-02-12
VFD-04,VFD,SINAMICS G120C,6SL3210-1KE21-3UB1,Line 2 - Palletizer,2020-05-31
VFD-05,VFD,SINAMICS G120 CU240B-2/CU240E-2,6SL3244-0BB12-1PA1,Line 3 - Mixing,2019-02-23
VFD-06,VFD,SINAMICS G120C,6SL3210-1KE21-3UB1,Line 3 - Extrusion,2022-04-06
VFD-07,VFD,SINAMICS G120C,6SL3210-1KE21-3UB1,Line 4 - Filling,2022-01-10
VFD-08,VFD,SINAMICS G120 CU240B-2/CU240E-2,6SL3244-0BB12-1PA1,Line 4 - Capping,2020-12-19
VFD-09,VFD,SINAMICS G120C,6SL3210-1KE21-3UB1,Utilities - Pump House,2023-02-25
VFD-10,VFD,SINAMICS G120 CU240B/E-2,6SL3244-0BB13-1FA0,Utilities - Compressor Room,2019-05-27
